Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
PolyMath,,"A PMExponentialGenerator uses a uniform random variable in [0,1] to sample from an exponential distribution.

The exponential distribution has a single parameter beta, here denoted as mean. 

The default RandomGenerator is PMRandom, but can be modified.

The next method uses the formula:

x=  - \beta * ln (1 - u)

to generate an exponential sample x from a uniform [0,1] sample u.

(Applied Statistics 3rd ed., Ledolter and Hogg, p. 185)",13,,,,"The default RandomGenerator is PMRandom, but can be modified.","The next method uses the formula:

x=  - \beta * ln (1 - u)

to generate an exponential sample x from a uniform [0,1] sample u.

",,,,,,,,,,,,,,,,,,PMExponentialGenerator,"""A PMExponentialGenerator uses a uniform random variable in [0,1] to sample from an exponential distribution.","The exponential distribution has a single parameter beta, here denoted as mean. ","(Applied Statistics 3rd ed., Ledolter and Hogg, p. 185)""",,,,,
PolyMath,,"I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.
The method is initialized by g(0), g(1) and g'(0).
The step from x = 0 to x = 1 suppose to minimize g(x) (i.e. g'(0) < 0), but due to nonlinearity of g(x) might fail to do so.
In this case, this method finds such an x that this function is minimized in the sense:

g(x) <= g(0) + alpha g'(0)

for some small alpha (defaults to 1e-4).

Usage

For once off use: 

          (PMLineSearch function:  funBlock valueAtZero: g0  derivativeAtZero: dg0  valueAtOne: g1 ) evaluate.

where funBlock is the implementation of g(x), g0 = g(0), dg0 = g'(0) and g1 = g(0).

For repeated use:

            storedMethod := DhbLineSearch new.
           storedMethod setFunction: funBlock.
           storedMethod setValueAtZero: g0 derivativeAtZero: dg0  valueAtOne: g1.
           storedMethod evaluate. 
 
!!! Optimization tip!!!

It is guaranteed that g(x) will be called on the resulting x.

See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.",29,,,,,"
The step from x = 0 to x = 1 suppose to minimize g(x) (i.e. g'(0) < 0), but due to nonlinearity of g(x) might fail to do so.
In this case, this method finds such an x that this function is minimized in the sense:

g(x) <= g(0) + alpha g'(0)

for some small alpha (defaults to 1e-4).

!!! Optimization tip!!!

It is guaranteed that g(x) will be called on the resulting x.

See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.""",,,,,"
Usage

For once off use: 

          (PMLineSearch function:  funBlock valueAtZero: g0  derivativeAtZero: dg0  valueAtOne: g1 ) evaluate.

where funBlock is the implementation of g(x), g0 = g(0), dg0 = g'(0) and g1 = g(0).

For repeated use:

            storedMethod := DhbLineSearch new.
           storedMethod setFunction: funBlock.
           storedMethod setValueAtZero: g0 derivativeAtZero: dg0  valueAtOne: g1.
           storedMethod evaluate. 
 ",,,,,,,,,,,,,PMLineSearch,"""I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.","""I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.
The method is initialized by g(0), g(1) and g'(0).","See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.""",,,,,
PolyMath,,"Please comment me using the following template inspired by Class Responsibility Collaborator (CRC) design:

For the Class part:  State a one line summary. For example, ""I represent a paragraph of text"".

For the Responsibility part: Three sentences about my main responsibilities - what I do, what I know.

For the Collaborators Part: State my main collaborators and one line about how I interact with them. 

Public API and Key Messages
- message one   
- message two 
- (for bonus points) how to create instances.

   One simple example is simply gorgeous.
 
Internal Representation and Key Implementation Points.

    Instance Variables
        ones:                <Object>
        randomMatrix:                <Object>
        s_matrix:                <Object>
        u:                <Object>
        v:                <Object>


    Implementation Points",26,,,,,,"
    Instance Variables
        ones:                <Object>
        randomMatrix:                <Object>
        s_matrix:                <Object>
        u:                <Object>
        v:                <Object>",,,,,,,,,,,,,,,,,PMSingularValueDecompositionTest,,,,"Please comment me using the following template inspired by Class Responsibility Collaborator (CRC) design:

For the Class part:  State a one line summary. For example, ""I represent a paragraph of text"".

For the Responsibility part: Three sentences about my main responsibilities - what I do, what I know.

For the Collaborators Part: State my main collaborators and one line about how I interact with them. 

Public API and Key Messages
- message one   
- message two 
- (for bonus points) how to create instances.

   One simple example is simply gorgeous.
 
Internal Representation and Key Implementation Points.

    Implementation Points",,,,
Seaside,WAEncoder,I encode everything that is written to myself using #nextPut: and #nextPutAll: onto the wrapped stream.,1.0,,,,I encode everything that is written to myself using #nextPut: and #nextPutAll: onto the wrapped stream.,,,,,,,,,,,,,,,,,,,,,I encode everything that is written to myself using #nextPut: and #nextPutAll: onto the wrapped stream.,,,,,,
Seaside,WAImageStatus,A WAImageStatus displays information about the current Smalltalk image.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,A WAImageStatus displays information about the current Smalltalk image.,,,,,,
Seaside,WAPainterVisitor,An implementation of the Visitor pattern for Painter subclasses.,1.0,,,An implementation of the Visitor pattern for Painter subclasses.,,,,,An implementation of the Visitor pattern for Painter subclasses.,,,,,,,,,,,,,,,,An implementation of the Visitor pattern for Painter subclasses.,An implementation of the Visitor pattern for Painter subclasses.,,,,,,
Seaside,WACopyHandlerPlugin,I make a copy of an application.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,I make a copy of an application.,,,,,,
Seaside,WAInvisibleSessionTrackingStrategy,I am the abstract base class for classes that that use some request attribute that is present on every request for tracking sessions. For document handlers query fields are used.,1.0,,,For document handlers query fields are used.,,,,,,,,,,,,,,,,,,,,,I am the abstract base class, for classes that that use some request attribute that is present on every request for tracking sessions.,,,,,,
Seaside,WAFormCharEncodingFromHandlerTest,I test that the encoding from the handler is taken if a handler is present but a codec is missing.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,I test that the encoding from the handler is taken if a handler is present but a codec is missing.,,,,,,
Seaside,WAPharoUrlEncoder,I am a Pharo specific URL encoder.,1.0,,,,,,,,,,,,URL,,,,,,,,,,,,I am a Pharo specific URL encoder.,,,,,,,
Seaside,WAPharoXmlEncoder,I am a Pharo specific XML encoder.,1.0,,,,,,,,,,,,XML,,,,,,,,,,,,I am a Pharo specific XML encoder.,,,,,,,
Seaside,WADynamicVariable,I exist for legacy purposes. You should subclass GRDynamicVariable.,1.0,,,,,,,,,,,,,,,,,You should subclass GRDynamicVariable.,,,,,,,,I exist for legacy purposes. ,,,,,,
Seaside,WACancelButtonTag,Creates a Cancel submit button.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Creates a Cancel submit button.,,,,,,
Seaside,WADevelopment,A WADevelopment is a collection of convenience methods for dealing with Seaside development in Squeak. This code is not supposed to be ported.,1.0,,,,,,,,,,,,,,,,,,,,,,,,A WADevelopment is a collection of convenience methods for dealing with Seaside development in Squeak. ,A WADevelopment is a collection of convenience methods for dealing with Seaside development in Squeak. ,,,This code is not supposed to be ported.,,,
Seaside,WAPharoEncoder,I am  the common superclass for Pharo encoders.,1.0,,,,,,,,,,,,,,,,,,,,,,,,I am  the common superclass for Pharo encoders.,I am  the common superclass for Pharo encoders.,,,,,,
Seaside,JQLoad,Load HTML from a remote file and inject it into the DOM.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Load HTML from a remote file and inject it into the DOM.,,,,,,
Seaside,WAUrlAttribute,WAUrlAttribute represents a URL attribute. It converts between text entered on the configuration page and WAUrl instances.,1.0,,,,,,,,,,,,,,,,,,,,,,,,WAUrlAttribute represents a URL attribute.,It converts between text entered on the configuration page and WAUrl instances.,,,,,,
Seaside,WARequestContextNotFound,This exception is raised when trying to obtain the current request context when none is available.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This exception is raised when trying to obtain the current request context when none is available.,
Seaside,WARedirectingRegistry,I revert to the old < 3.3.0 behavior which is easier for tests.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,I revert to the old < 3.3.0 behavior which is easier for tests.,,,,,,
Seaside,WACanvasWidget,A common superclass for all widgets that want to use WAHtmlCanvas as their renderer.,1.0,,,,,,,,A common superclass for all widgets that want to use WAHtmlCanvas as their renderer.,WAHtmlCanvas,,,,,,,,,,,,,,,A common superclass for all widgets that want to use WAHtmlCanvas as their renderer.,,,,,,,
Seaside,WAMemoryToolPlugin,I display the memory usage tool.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,I display the memory usage tool.,,,,,,
Seaside,WAObjectTag,"Defines an embedded object. Use this element to add multimedia to your XHTML page.
This element allows you to specify the data and parameters for objects inserted into HTML documents, and the code that can be used to display/manipulate that data.",2.0,,,,,,,,,,,,,,,,,Use this element to add multimedia to your XHTML page.,,,,,,,Defines an embedded object,"Use this element to add multimedia to your XHTML page.This element allows you to specify the data and parameters for objects inserted into HTML documents, and the code that can be used to display/manipulate that data.",,,,,,
